gap_start,gap_end,gap_seconds
2021-04-08 11:59:59.114732+00:00,2021-04-08 12:00:29.115349+00:00,30.000617
2021-04-12 11:59:56.940233+00:00,2021-04-12 12:00:24.726575+00:00,27.786342
2021-04-17 23:59:54.116090+00:00,2021-04-18 00:00:07.377516+00:00,13.261426
2021-04-13 15:59:57.219057+00:00,2021-04-13 16:00:09.929028+00:00,12.709971
2021-04-13 23:59:53.031172+00:00,2021-04-14 00:00:05.214127+00:00,12.182955
2021-04-19 03:59:56.013736+00:00,2021-04-19 04:00:08.118284+00:00,12.104548
2021-04-11 03:59:58.111426+00:00,2021-04-11 04:00:10.120159+00:00,12.008733
2021-04-14 19:59:59.118908+00:00,2021-04-14 20:00:01.732920+00:00,2.614012
2021-04-07 15:59:59.122161+00:00,2021-04-07 16:00:01.626760+00:00,2.504599
2021-04-14 07:59:59.034727+00:00,2021-04-14 08:00:01.364502+00:00,2.329775
2021-04-09 03:59:59.064976+00:00,2021-04-09 04:00:01.368455+00:00,2.303479
2021-04-13 07:59:59.123831+00:00,2021-04-13 08:00:01.423670+00:00,2.299839
2021-04-08 15:59:59.115349+00:00,2021-04-08 16:00:01.384421+00:00,2.269072
2021-04-19 07:59:59.118284+00:00,2021-04-19 08:00:01.386544+00:00,2.26826
2021-04-12 03:59:59.102749+00:00,2021-04-12 04:00:01.369691+00:00,2.266942
2021-04-11 07:59:59.120159+00:00,2021-04-11 08:00:01.375516+00:00,2.255357
2021-04-12 23:59:59.200326+00:00,2021-04-13 00:00:01.421929+00:00,2.221603
2021-04-10 15:59:59.083429+00:00,2021-04-10 16:00:01.231693+00:00,2.148264
2021-04-09 11:59:59.115515+00:00,2021-04-09 12:00:01.225954+00:00,2.110439
2021-04-17 03:59:59.281751+00:00,2021-04-17 04:00:01.385744+00:00,2.103993
2021-04-09 23:59:59.128266+00:00,2021-04-10 00:00:01.215230+00:00,2.086964
2021-04-12 19:59:59.117263+00:00,2021-04-12 20:00:01.200326+00:00,2.083063
2021-04-18 07:59:59.118239+00:00,2021-04-18 08:00:01.199586+00:00,2.081347
2021-04-16 07:59:59.117412+00:00,2021-04-16 08:00:01.194762+00:00,2.07735
2021-04-18 19:59:59.224967+00:00,2021-04-18 20:00:01.291478+00:00,2.066511
2021-04-17 07:59:59.385744+00:00,2021-04-17 08:00:01.450860+00:00,2.065116
2021-04-15 11:59:59.117247+00:00,2021-04-15 12:00:01.175683+00:00,2.058436
2021-04-16 15:59:59.216259+00:00,2021-04-16 16:00:01.270401+00:00,2.054142
2021-04-17 15:59:59.119741+00:00,2021-04-17 16:00:01.172344+00:00,2.052603
2021-04-16 23:59:59.232632+00:00,2021-04-17 00:00:01.281751+00:00,2.049119
2021-04-15 19:59:59.182190+00:00,2021-04-15 20:00:01.225723+00:00,2.043533
2021-04-16 11:59:59.194762+00:00,2021-04-16 12:00:01.216259+00:00,2.021497
2021-04-15 03:59:59.198186+00:00,2021-04-15 04:00:01.211346+00:00,2.01316
2021-04-11 15:59:59.197852+00:00,2021-04-11 16:00:01.209673+00:00,2.011821
2021-04-15 15:59:59.175683+00:00,2021-04-15 16:00:01.182190+00:00,2.006507
2021-04-10 07:59:59.198094+00:00,2021-04-10 08:00:01.202787+00:00,2.004693
2021-04-10 19:59:59.231693+00:00,2021-04-10 20:00:01.234644+00:00,2.002951
2021-04-08 07:59:59.122668+00:00,2021-04-08 08:00:01.114732+00:00,1.992064
2021-04-11 23:59:59.115838+00:00,2021-04-12 00:00:01.102749+00:00,1.986911
2021-04-10 03:59:59.215230+00:00,2021-04-10 04:00:01.198094+00:00,1.982864
2021-04-16 19:59:59.270401+00:00,2021-04-16 20:00:01.232632+00:00,1.962231
2021-04-09 19:59:59.172509+00:00,2021-04-09 20:00:01.128266+00:00,1.955757
2021-04-16 03:59:59.166895+00:00,2021-04-16 04:00:01.117412+00:00,1.950517
2021-04-09 15:59:59.225954+00:00,2021-04-09 16:00:01.172509+00:00,1.946555
2021-04-17 19:59:59.172344+00:00,2021-04-17 20:00:01.116090+00:00,1.943746
2021-04-08 23:59:59.123315+00:00,2021-04-09 00:00:01.064976+00:00,1.941661
2021-04-15 23:59:59.225723+00:00,2021-04-16 00:00:01.166895+00:00,1.941172
2021-04-11 19:59:59.209673+00:00,2021-04-11 20:00:01.115838+00:00,1.906165
2021-04-15 07:59:59.211346+00:00,2021-04-15 08:00:01.117247+00:00,1.905901
2021-04-14 15:59:59.233212+00:00,2021-04-14 16:00:01.118908+00:00,1.885696
2021-04-10 11:59:59.202787+00:00,2021-04-10 12:00:01.083429+00:00,1.880642
2021-04-10 23:59:59.234644+00:00,2021-04-11 00:00:01.111426+00:00,1.876782
2021-04-14 11:59:59.364502+00:00,2021-04-14 12:00:01.233212+00:00,1.86871
2021-04-07 23:59:59.110784+00:00,2021-04-08 00:00:00.968678+00:00,1.857894
2021-04-11 11:59:59.375516+00:00,2021-04-11 12:00:01.197852+00:00,1.822336
2021-04-14 03:59:59.214127+00:00,2021-04-14 04:00:01.034727+00:00,1.8206
2021-04-13 11:59:59.423670+00:00,2021-04-13 12:00:01.219057+00:00,1.795387
2021-04-18 11:59:59.199586+00:00,2021-04-18 12:00:00.947707+00:00,1.748121
2021-04-09 07:59:59.368455+00:00,2021-04-09 08:00:01.115515+00:00,1.74706
2021-04-18 03:59:59.377516+00:00,2021-04-18 04:00:01.118239+00:00,1.740723
2021-04-08 19:59:59.384421+00:00,2021-04-08 20:00:01.123315+00:00,1.738894
2021-04-18 23:59:59.291478+00:00,2021-04-19 00:00:01.013736+00:00,1.722258
2021-04-13 03:59:59.421929+00:00,2021-04-13 04:00:01.123831+00:00,1.701902
2021-04-17 11:59:59.450860+00:00,2021-04-17 12:00:01.119741+00:00,1.668881
2021-04-12 07:59:59.369691+00:00,2021-04-12 08:00:00.940233+00:00,1.570542
2021-04-07 19:59:59.626760+00:00,2021-04-07 20:00:01.110784+00:00,1.484024
2021-04-14 23:59:59.732920+00:00,2021-04-15 00:00:01.198186+00:00,1.465266
2021-04-12 15:59:59.726575+00:00,2021-04-12 16:00:01.117263+00:00,1.390688
2021-04-18 15:59:59.947707+00:00,2021-04-18 16:00:01.224967+00:00,1.27726
2021-04-08 03:59:59.968678+00:00,2021-04-08 04:00:01.122668+00:00,1.15399
2021-04-13 19:59:59.929028+00:00,2021-04-13 20:00:01.031172+00:00,1.102144
