map,side,formation_window,horizon,x_bin,y_bin,mean_markout_bps,count
pressure_x_depth,buy,10,60,1,1,0.30058201862724376,27562
pressure_x_depth,buy,10,60,1,2,-0.36166787205420403,32574
pressure_x_depth,buy,10,60,1,3,-0.014277670229154514,23487
pressure_x_depth,buy,10,60,1,4,1.9162780361910132,8920
pressure_x_depth,buy,10,60,1,5,-0.4325083975657667,1278
pressure_x_depth,buy,10,60,2,1,-0.960024820765855,12012
pressure_x_depth,buy,10,60,2,2,-0.5159816937573809,13237
pressure_x_depth,buy,10,60,2,3,0.2095228335948449,10893
pressure_x_depth,buy,10,60,2,4,0.7450362828789538,6553
pressure_x_depth,buy,10,60,2,5,0.4766669358367862,1378
pressure_x_depth,buy,10,60,3,1,-1.4008388179434164,7135
pressure_x_depth,buy,10,60,3,2,-0.6501045535103007,7920
pressure_x_depth,buy,10,60,3,3,-0.1918197750213278,7129
pressure_x_depth,buy,10,60,3,4,0.20606314277963278,5823
pressure_x_depth,buy,10,60,3,5,0.4088757613654373,2185
pressure_x_depth,buy,10,60,4,1,-1.3377629537927704,4524
pressure_x_depth,buy,10,60,4,2,-1.2273517653781225,4849
pressure_x_depth,buy,10,60,4,3,-0.5977373733074032,4826
pressure_x_depth,buy,10,60,4,4,0.29844619381395393,5274
pressure_x_depth,buy,10,60,4,5,0.49859619767670743,3251
pressure_x_depth,buy,10,60,5,1,-2.3568196382171585,2680
pressure_x_depth,buy,10,60,5,2,-1.4780370561371412,2736
pressure_x_depth,buy,10,60,5,3,-1.562442060083811,3290
pressure_x_depth,buy,10,60,5,4,-0.9941968135844214,3761
pressure_x_depth,buy,10,60,5,5,-1.4364295707751378,4251
pressure_x_volatility,buy,10,60,1,1,3.3461252661455814,2360
pressure_x_volatility,buy,10,60,1,2,0.3087447360264347,5410
pressure_x_volatility,buy,10,60,1,3,0.23579763175384696,9289
pressure_x_volatility,buy,10,60,1,4,0.14034008135986367,15901
pressure_x_volatility,buy,10,60,1,5,-0.021035629416180708,60861
pressure_x_volatility,buy,10,60,2,1,-1.0976390847661048,2707
pressure_x_volatility,buy,10,60,2,2,-0.2726222336326781,6027
pressure_x_volatility,buy,10,60,2,3,-0.24408975894816573,8342
pressure_x_volatility,buy,10,60,2,4,-0.03367491319261847,10919
pressure_x_volatility,buy,10,60,2,5,-0.21906763595015452,16078
pressure_x_volatility,buy,10,60,3,1,-0.9705086708386935,3497
pressure_x_volatility,buy,10,60,3,2,-0.5613777920026561,6284
pressure_x_volatility,buy,10,60,3,3,-0.01740694302648343,7057
pressure_x_volatility,buy,10,60,3,4,-0.020584313536866693,7069
pressure_x_volatility,buy,10,60,3,5,-1.1500523167490875,6285
pressure_x_volatility,buy,10,60,4,1,-0.5141085717923842,4344
pressure_x_volatility,buy,10,60,4,2,0.04827835410170337,6112
pressure_x_volatility,buy,10,60,4,3,-0.06701443347907084,5247
pressure_x_volatility,buy,10,60,4,4,-0.6145098659820923,4207
pressure_x_volatility,buy,10,60,4,5,-2.422931534395492,2814
pressure_x_volatility,buy,10,60,5,1,0.2296173302625383,5992
pressure_x_volatility,buy,10,60,5,2,-0.47479059540881247,4560
pressure_x_volatility,buy,10,60,5,3,-0.2638353261929554,2911
pressure_x_volatility,buy,10,60,5,4,-1.0887402233605894,1743
pressure_x_volatility,buy,10,60,5,5,-14.478293517823284,1512
cancellation_x_replenishment,buy,10,60,1,1,-1.4193141407532543,24526
cancellation_x_replenishment,buy,10,60,1,2,-1.216606780921223,16418
cancellation_x_replenishment,buy,10,60,1,3,-0.4970684095072666,5941
cancellation_x_replenishment,buy,10,60,1,4,1.4694455992267046,1638
cancellation_x_replenishment,buy,10,60,1,5,2.0438239119772614,457
cancellation_x_replenishment,buy,10,60,2,1,-0.9963745617420269,8452
cancellation_x_replenishment,buy,10,60,2,2,-0.2557149996355807,22403
cancellation_x_replenishment,buy,10,60,2,3,0.12376833899071449,19020
cancellation_x_replenishment,buy,10,60,2,4,-0.6624251720813517,7849
cancellation_x_replenishment,buy,10,60,2,5,2.140044772036402,1490
cancellation_x_replenishment,buy,10,60,3,1,-0.3672861567245061,743
cancellation_x_replenishment,buy,10,60,3,2,-0.4620383171228437,9001
cancellation_x_replenishment,buy,10,60,3,3,-0.035513166919184,18655
cancellation_x_replenishment,buy,10,60,3,4,-0.05816499399225757,15039
cancellation_x_replenishment,buy,10,60,3,5,1.6434177197775137,4044
cancellation_x_replenishment,buy,10,60,4,1,3.087258811652174,67
cancellation_x_replenishment,buy,10,60,4,2,-0.3548596169418296,1187
cancellation_x_replenishment,buy,10,60,4,3,-0.13762322700536686,8042
cancellation_x_replenishment,buy,10,60,4,4,0.03479517140764154,15508
cancellation_x_replenishment,buy,10,60,4,5,0.7516979847338725,8786
cancellation_x_replenishment,buy,10,60,5,1,1.062137262486126,26
cancellation_x_replenishment,buy,10,60,5,2,5.639299754673671,39
cancellation_x_replenishment,buy,10,60,5,3,0.23870501383693948,397
cancellation_x_replenishment,buy,10,60,5,4,-0.12171943054936667,4331
cancellation_x_replenishment,buy,10,60,5,5,0.9354234089271732,13469
market_flow_x_replenishment,buy,10,60,1,1,-0.7989783931837616,10181
market_flow_x_replenishment,buy,10,60,1,2,-0.43031615764461273,13961
market_flow_x_replenishment,buy,10,60,1,3,0.14910856719342105,13386
market_flow_x_replenishment,buy,10,60,1,4,-0.3084719001635343,10449
market_flow_x_replenishment,buy,10,60,1,5,1.031866412974379,6131
market_flow_x_replenishment,buy,10,60,2,1,-0.7155414932021541,7257
market_flow_x_replenishment,buy,10,60,2,2,-0.17042130199337205,11102
market_flow_x_replenishment,buy,10,60,2,3,0.0882812027369258,11175
market_flow_x_replenishment,buy,10,60,2,4,-0.018764669882289597,9000
market_flow_x_replenishment,buy,10,60,2,5,1.179279569109552,4975
market_flow_x_replenishment,buy,10,60,3,1,-0.4261472166694401,5518
market_flow_x_replenishment,buy,10,60,3,2,-0.03838586132381393,8364
market_flow_x_replenishment,buy,10,60,3,3,0.3564749394585243,9274
market_flow_x_replenishment,buy,10,60,3,4,0.05916408886783603,7866
market_flow_x_replenishment,buy,10,60,3,5,0.705956845524108,5077
market_flow_x_replenishment,buy,10,60,4,1,-0.7565075197445332,5171
market_flow_x_replenishment,buy,10,60,4,2,-0.5422443567436106,7539
market_flow_x_replenishment,buy,10,60,4,3,0.16099207450768416,8693
market_flow_x_replenishment,buy,10,60,4,4,-0.0638047965711555,7984
market_flow_x_replenishment,buy,10,60,4,5,0.6128895247614052,5280
market_flow_x_replenishment,buy,10,60,5,1,-4.163781212211366,5687
market_flow_x_replenishment,buy,10,60,5,2,-2.1967860816742926,8082
market_flow_x_replenishment,buy,10,60,5,3,-1.0456040995602485,9527
market_flow_x_replenishment,buy,10,60,5,4,-0.024111215283836942,9066
market_flow_x_replenishment,buy,10,60,5,5,1.6156307615904408,6783
pressure_x_depth,sell,10,60,1,1,-2.022979052544612,10992
pressure_x_depth,sell,10,60,1,2,0.4948092582640743,24397
pressure_x_depth,sell,10,60,1,3,0.1819696110991994,26410
pressure_x_depth,sell,10,60,1,4,0.6832191672125018,15577
pressure_x_depth,sell,10,60,1,5,4.622936143763816,3037
pressure_x_depth,sell,10,60,2,1,-0.5486936475684008,6313
pressure_x_depth,sell,10,60,2,2,-0.37068127286430946,12007
pressure_x_depth,sell,10,60,2,3,-0.09174256470519948,14382
pressure_x_depth,sell,10,60,2,4,1.1551718981638446,11829
pressure_x_depth,sell,10,60,2,5,2.958522364420797,3941
pressure_x_depth,sell,10,60,3,1,-0.7868628263710963,3911
pressure_x_depth,sell,10,60,3,2,-0.5546232644183513,7924
pressure_x_depth,sell,10,60,3,3,-0.47747382230924595,9449
pressure_x_depth,sell,10,60,3,4,0.94364495295393,8718
pressure_x_depth,sell,10,60,3,5,1.5313010865137626,4783
pressure_x_depth,sell,10,60,4,1,-0.7155113429455099,2750
pressure_x_depth,sell,10,60,4,2,-0.5276737226411694,5227
pressure_x_depth,sell,10,60,4,3,-0.04834456645148855,6383
pressure_x_depth,sell,10,60,4,4,0.5292108019477832,6407
pressure_x_depth,sell,10,60,4,5,1.6876671269987233,5884
pressure_x_depth,sell,10,60,5,1,-0.20930468283729647,2261
pressure_x_depth,sell,10,60,5,2,-0.26902848364977394,2514
pressure_x_depth,sell,10,60,5,3,-0.19055606103821687,2984
pressure_x_depth,sell,10,60,5,4,0.43431634149825665,3500
pressure_x_depth,sell,10,60,5,5,0.3732549742828825,5948
pressure_x_volatility,sell,10,60,1,1,-6.052386389159838,1454
pressure_x_volatility,sell,10,60,1,2,0.43270520886598385,3513
pressure_x_volatility,sell,10,60,1,3,-0.015697937489554895,6584
pressure_x_volatility,sell,10,60,1,4,-0.1511322637199333,12439
pressure_x_volatility,sell,10,60,1,5,0.506651915949943,56423
pressure_x_volatility,sell,10,60,2,1,0.333418650110651,2280
pressure_x_volatility,sell,10,60,2,2,0.18962464172561141,5427
pressure_x_volatility,sell,10,60,2,3,0.24215302543491715,8524
pressure_x_volatility,sell,10,60,2,4,0.18041756374173912,12733
pressure_x_volatility,sell,10,60,2,5,0.5094983460510174,19508
pressure_x_volatility,sell,10,60,3,1,-0.005693816689157656,3459
pressure_x_volatility,sell,10,60,3,2,-0.08899681053111798,6929
pressure_x_volatility,sell,10,60,3,3,0.07313293759330267,8303
pressure_x_volatility,sell,10,60,3,4,0.21055226620618597,8626
pressure_x_volatility,sell,10,60,3,5,0.23833845359204736,7468
pressure_x_volatility,sell,10,60,4,1,0.48593812545021486,5140
pressure_x_volatility,sell,10,60,4,2,0.16045359555722435,7498
pressure_x_volatility,sell,10,60,4,3,-0.10281696877910436,6389
pressure_x_volatility,sell,10,60,4,4,0.3354159114910001,4600
pressure_x_volatility,sell,10,60,4,5,1.2234385815818334,3024
pressure_x_volatility,sell,10,60,5,1,0.7442806492940436,6567
pressure_x_volatility,sell,10,60,5,2,0.4446562974992753,5026
pressure_x_volatility,sell,10,60,5,3,-0.27009835979944646,3046
pressure_x_volatility,sell,10,60,5,4,-0.702209007995271,1441
pressure_x_volatility,sell,10,60,5,5,-2.897868491859146,1127
cancellation_x_replenishment,sell,10,60,1,1,-0.8397937949384472,16892
cancellation_x_replenishment,sell,10,60,1,2,-1.0528934569715314,17416
cancellation_x_replenishment,sell,10,60,1,3,-0.02374613241558433,8260
cancellation_x_replenishment,sell,10,60,1,4,4.185470363824019,2914
cancellation_x_replenishment,sell,10,60,1,5,-1.9206318385904477,845
cancellation_x_replenishment,sell,10,60,2,1,0.014404287489993957,4868
cancellation_x_replenishment,sell,10,60,2,2,-0.3562631928908805,17535
cancellation_x_replenishment,sell,10,60,2,3,-0.3171854774801705,18695
cancellation_x_replenishment,sell,10,60,2,4,0.8274932012095729,10911
cancellation_x_replenishment,sell,10,60,2,5,3.1686554095891935,2888
cancellation_x_replenishment,sell,10,60,3,1,0.5212117085616974,400
cancellation_x_replenishment,sell,10,60,3,2,0.09113056589822893,6433
cancellation_x_replenishment,sell,10,60,3,3,-0.011111612806014633,15495
cancellation_x_replenishment,sell,10,60,3,4,0.24406406605091424,16741
cancellation_x_replenishment,sell,10,60,3,5,0.6835122254385142,5870
cancellation_x_replenishment,sell,10,60,4,1,-2.997942041147177,57
cancellation_x_replenishment,sell,10,60,4,2,-0.8800674138909342,911
cancellation_x_replenishment,sell,10,60,4,3,0.3243250501338404,7233
cancellation_x_replenishment,sell,10,60,4,4,0.7977909881333314,15949
cancellation_x_replenishment,sell,10,60,4,5,0.8964582760072828,11707
cancellation_x_replenishment,sell,10,60,5,1,3.465502747128561,34
cancellation_x_replenishment,sell,10,60,5,2,-2.7385571671016358,82
cancellation_x_replenishment,sell,10,60,5,3,1.0753842359082932,579
cancellation_x_replenishment,sell,10,60,5,4,0.6669238560543103,5206
cancellation_x_replenishment,sell,10,60,5,5,1.4311642970772578,19607
market_flow_x_replenishment,sell,10,60,1,1,-0.1527915966162007,3569
market_flow_x_replenishment,sell,10,60,1,2,-1.7354700034667994,4858
market_flow_x_replenishment,sell,10,60,1,3,0.18746793462724246,5480
market_flow_x_replenishment,sell,10,60,1,4,0.5428190243042154,5072
market_flow_x_replenishment,sell,10,60,1,5,0.6112791303857493,3293
market_flow_x_replenishment,sell,10,60,2,1,-0.2275223172535823,3689
market_flow_x_replenishment,sell,10,60,2,2,-0.29617164597806506,6251
market_flow_x_replenishment,sell,10,60,2,3,0.20220418489616163,7573
market_flow_x_replenishment,sell,10,60,2,4,0.6154792804447009,7404
market_flow_x_replenishment,sell,10,60,2,5,1.3262515600274514,4922
market_flow_x_replenishment,sell,10,60,3,1,-1.0523389608736031,4601
market_flow_x_replenishment,sell,10,60,3,2,-0.35830959826432834,8137
market_flow_x_replenishment,sell,10,60,3,3,0.0018408287556887328,9522
market_flow_x_replenishment,sell,10,60,3,4,0.8903631253194776,9878
market_flow_x_replenishment,sell,10,60,3,5,0.9900214566032774,7151
market_flow_x_replenishment,sell,10,60,4,1,0.08596821311680539,5203
market_flow_x_replenishment,sell,10,60,4,2,0.05938579583188331,10447
market_flow_x_replenishment,sell,10,60,4,3,0.029411620406778086,12336
market_flow_x_replenishment,sell,10,60,4,4,0.5812216296805466,13012
market_flow_x_replenishment,sell,10,60,4,5,0.8233877253873274,10546
market_flow_x_replenishment,sell,10,60,5,1,-1.5766208613052426,5189
market_flow_x_replenishment,sell,10,60,5,2,-0.9813058717612502,12684
market_flow_x_replenishment,sell,10,60,5,3,-0.40834969254057357,15351
market_flow_x_replenishment,sell,10,60,5,4,1.0907392278632724,16355
market_flow_x_replenishment,sell,10,60,5,5,1.7189065211395944,15005
